Domain,pyCoP 1s,leanCoP 1s,pyCoP 10s,leanCoP 10s
AGT,8.0,8.0,11,8
ALG,7.0,18.0,17,25
COM,3.0,3.0,3,4
CSR,87.0,73.0,116,92
GEO,124.0,139.0,150,170
GRA,1.0,1.0,1,1
GRP,,,1,1
KLE,12.0,15.0,13,15
KRS,63.0,69.0,77,80
LAT,6.0,6.0,6,6
LCL,15.0,15.0,16,21
MGT,23.0,28.0,28,30
MSC,2.0,3.0,3,4
NLP,9.0,11.0,11,11
NUM,66.0,72.0,78,83
PRO,1.0,1.0,1,1
PUZ,7.0,9.0,9,10
REL,,1.0,1,2
RNG,13.0,15.0,20,25
SCT,,,1,1
SET,83.0,100.0,114,127
SEU,70.0,81.0,84,93
SWB,26.0,28.0,29,31
SWC,1.0,1.0,14,14
SWV,122.0,123.0,130,132
SWW,5.0,5.0,10,10
SYN,199.0,206.0,206,208
TOP,2.0,2.0,5,5
